this_response,full_image_path,trial_number,HITID,HITTypeId,WorkerID,short_image_path,shorter_image_path,sanity_check_category,response,hands,faces,sanity_hands,sanity_faces
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/4062-A_20131001_1218_01.mp4-10275.jpg,3,3UUIU9GZC55DUGVLY7WWCDBYL8Z5TS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2S4YDJ9UGAXFQ,4062-A_20131001_1218_01.mp4-10275.jpg,4062-A_20131001_1218_01.mp4-10275,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/10355-A_20141207_2624_02.mp4-12565.jpg,3,3MQKOF1EE2O0QAE88IJQX96P2JFDWY,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AN0JVAS4VR13F,10355-A_20141207_2624_02.mp4-12565.jpg,10355-A_20141207_2624_02.mp4-12565,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/681-A_20130612_0830_05.mp4-34290.jpg,3,362E9TQF2HQL1Z4ULRGJ230E00XIG6,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AETIZKQNUSBLB,681-A_20130612_0830_05.mp4-34290.jpg,681-A_20130612_0830_05.mp4-34290,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/11922-A_20150507_3124_02.mp4-12215.jpg,3,3RWB1RTQDJNYP6LGFOUFJNKSYVF8PS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A36FBIDN58N139,11922-A_20150507_3124_02.mp4-12215.jpg,11922-A_20150507_3124_02.mp4-12215,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/21099-S_20140928_2311_01.mp4-8115.jpg,3,3KQC8JMJGCSKBSHMKUREJXAQWID3HQ,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A30GA8KZBSU7E4,21099-S_20140928_2311_01.mp4-8115.jpg,21099-S_20140928_2311_01.mp4-8115,NA,none,FALSE,FALSE,NA,NA
NA,http://langcog.stanford.edu/expts/saycam/frames/15234-S_20131017_1200_04.mp4-1830.jpg,3,3OQQD2WO8I6K7NS6QC9ZJ9B5WVS3IJ,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2O2Y99RA9GFUJ,15234-S_20131017_1200_04.mp4-1830.jpg,15234-S_20131017_1200_04.mp4-1830,NA,NA,NA,NA,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/16687-S_20140104_1418_01.mp4-10425.jpg,3,3S829FDFT21FFAJYINFCZSKWBLLDXR,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2FV0CMG9S8CU0,16687-S_20140104_1418_01.mp4-10425.jpg,16687-S_20140104_1418_01.mp4-10425,NA,hands,TRUE,FALSE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/11661-A_20150404_3022_03.mp4-19740.jpg,3,3PEG1BH7AERGGDM7589HE8OUCRUKB2,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3UDUHUVFKD833,11661-A_20150404_3022_03.mp4-19740.jpg,11661-A_20150404_3022_03.mp4-19740,NA,hands,TRUE,FALSE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/9407-A_20140803_2221_03.mp4-15710.jpg,4,3R0WOCG21M9NY6P3DI4PFLLSH34DUZ,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AZ69TBTDH7AZS,9407-A_20140803_2221_03.mp4-15710.jpg,9407-A_20140803_2221_03.mp4-15710,NA,hands,TRUE,FALSE,NA,NA
Face(s) only,http://langcog.stanford.edu/expts/saycam/frames/6516-A_20140305_1720_01.mp4-33515.jpg,4,3ZQX1VYFTD5G469F0OH0UNF2OQJ8OB,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A12ASB8854TT4,6516-A_20140305_1720_01.mp4-33515.jpg,6516-A_20140305_1720_01.mp4-33515,NA,faces,FALSE,TRUE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/7814-A_20140502_1919_03.mp4-13500.jpg,4,35YHTYFL1G3K95SZ9E9KZ7QW7NTFV1,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A17K1CHOI773VZ,7814-A_20140502_1919_03.mp4-13500.jpg,7814-A_20140502_1919_03.mp4-13500,NA,none,FALSE,FALSE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/17427-S_20140212_1526_07.mp4-20530.jpg,4,32K26U12DNONBLE3I8EUB7NBVADDVO,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AKZ8SFOAI4RZN,17427-S_20140212_1526_07.mp4-20530.jpg,17427-S_20140212_1526_07.mp4-20530,NA,hands,TRUE,FALSE,NA,NA
Face(s) only,http://langcog.stanford.edu/expts/saycam/frames/18687-S_20140426_1809_01.AVI.mp4-29765.jpg,4,32PT7WK7DMF3ZCCKYY8OSCVS4QK3DH,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A1P6OXEJ86HQRM,18687-S_20140426_1809_01.AVI.mp4-29765.jpg,18687-S_20140426_1809_01.AVI.mp4-29765,NA,faces,FALSE,TRUE,NA,NA
Face(s) and Hand(s),http://langcog.stanford.edu/expts/saycam/frames/5623-A_20140201_1620_02.mp4-13630.jpg,4,3P4ZBJFX2V3XOUS4ZOEGL99AEWVFWB,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2R8IV2PWFTY00,5623-A_20140201_1620_02.mp4-13630.jpg,5623-A_20140201_1620_02.mp4-13630,NA,both,TRUE,TRUE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/12732-S_20130526_0709_02.AVI.mp4-3925.jpg,4,3FVBZG9CLJEOU0IP179VHZCJT6T0HS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3FT3XPTOWHJMY,12732-S_20130526_0709_02.AVI.mp4-3925.jpg,12732-S_20130526_0709_02.AVI.mp4-3925,NA,none,FALSE,FALSE,NA,NA
Hand(s) only,http://langcog.stanford.edu/expts/saycam/frames/10522-A_20141214_2701_02.mp4-18385.jpg,4,3VMHWJRYHVGCDUXU9TA2NSNHNY1FX4,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3OW5EFQ5QFD19,10522-A_20141214_2701_02.mp4-18385.jpg,10522-A_20141214_2701_02.mp4-18385,NA,hands,TRUE,FALSE,NA,NA
Face(s) and Hand(s),http://langcog.stanford.edu/expts/saycam/frames/22598-S_20141228_2611_08.mp4-19985.jpg,4,3N7PQ0KLI5P8RIQKUTJ8YUDD42L3EA,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A3OV174HQJIJK8,22598-S_20141228_2611_08.mp4-19985.jpg,22598-S_20141228_2611_08.mp4-19985,NA,both,TRUE,TRUE,NA,NA
NA,http://langcog.stanford.edu/expts/saycam/frames/22092-S_20141130_2513_07.mp4-5545.jpg,4,3P7RGTLO6EDBX3HFZU9LJX4OU99KA7,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2NW4P1OLHXU3N,22092-S_20141130_2513_07.mp4-5545.jpg,22092-S_20141130_2513_07.mp4-5545,NA,NA,NA,NA,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/14950-S_20130925_1108_02.mp4-10990.jpg,4,3UUIU9GZC55DUGVLY7WWCDBYL8Z5TS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A2S4YDJ9UGAXFQ,14950-S_20130925_1108_02.mp4-10990.jpg,14950-S_20130925_1108_02.mp4-10990,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/11810-A_20150426_3113_01.mp4-2635.jpg,4,3MQKOF1EE2O0QAE88IJQX96P2JFDWY,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AN0JVAS4VR13F,11810-A_20150426_3113_01.mp4-2635.jpg,11810-A_20150426_3113_01.mp4-2635,NA,none,FALSE,FALSE,NA,NA
Neither face(s) nor hands(s),http://langcog.stanford.edu/expts/saycam/frames/8815-A_20140704_2121_01.mp4-42380.jpg,4,362E9TQF2HQL1Z4ULRGJ230E00XIG6,3ES1UQ6TFXN792G5BPH8S45TOWGML3,AETIZKQNUSBLB,8815-A_20140704_2121_01.mp4-42380.jpg,8815-A_20140704_2121_01.mp4-42380,NA,none,FALSE,FALSE,NA,NA
Face(s) and Hand(s),http://langcog.stanford.edu/expts/saycam/frames/8405-A_20140601_2019_02.mp4-3025.jpg,4,3RWB1RTQDJNYP6LGFOUFJNKSYVF8PS,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A36FBIDN58N139,8405-A_20140601_2019_02.mp4-3025.jpg,8405-A_20140601_2019_02.mp4-3025,NA,both,TRUE,TRUE,NA,NA
Face(s) and Hand(s),http://langcog.stanford.edu/expts/saycam/frames/9601-A_20140912_2330_01.mp4-14315.jpg,4,3KQC8JMJGCSKBSHMKUREJXAQWID3HQ,3ES1UQ6TFXN792G5BPH8S45TOWGML3,A30GA8KZBSU7E4,9601-A_20140912_2330_01.mp4-14315.jpg,9601-A_20140912_2330_01.mp4-14315,NA,both,TRUE,TRUE,NA,NA
